brick_ID,array,genotype,brick_colour,side,date_1,photo_ID_1,condition_1,area_(cm2)_1,date,photo_ID,condition_2,area_(cm2),days_between_set1_set2,growth_between_set1_set2_area_(cm2),growth_per_day_(cm2),Notes
M1B1A,A,1,1,N,10.19.17,DSCF2581,alive,2.122,06.26.18,DSCF8268,alive,6.004,250,3.882,0.015528,
M1B1A,A,1,1,S,10.19.17,DSCF2584,alive,2.301,06.26.18,DSCF8270,alive,6.694,250,4.393,0.017572,
M1B1A,A,1,1,W,10.19.17,DSCF2585,alive,2.166,06.26.18,DSCF8271,alive,9.324,250,7.158,0.028632,
M1B1A,A,1,1,TOP,10.19.17,DSCF2580,alive,3.476,06.26.18,DSCF8267,alive,10.877,250,7.401,0.029604,
M1B1A,A,1,1,E,10.19.17,DSCF2582,alive,1.492,06.26.18,DSCF8269,dead,NA,250,NA,NA,
M1B1B,B,1,1,S,10.19.17,DSCF2604,alive,1.955,06.26.18,DSCF8342,alive,5.089,250,3.134,0.012536,
M1B1B,B,1,1,W,10.19.17,DSCF2605,alive,2.041,06.26.18,DSCF8343,alive,7.674,250,5.633,0.022532,
M1B1B,B,1,1,TOP,10.19.17,DSCF2600,alive,3.008,06.26.18,DSCF8339,alive,9.584,250,6.576,0.026304,
M1B1B,B,1,1,N,10.19.17,DSCF2602,alive,2.315,06.26.18,DSCF8340,alive,11.433,250,9.118,0.036472,
M1B1B,B,1,1,E,10.19.17,DSCF2603,alive,1.8,06.26.18,DSCF8341,dead,NA,250,NA,NA,
M1B1C,C,1,1,W,10.19.17,DSCF2628,alive,1.661,06.26.18,DSCF4565,alive,4.494,250,2.833,0.011332,
M1B1C,C,1,1,TOP,10.19.17,DSCF2623,alive,1.869,06.26.18,DSCF4561,alive,4.795,250,2.926,0.011704,
M1B1C,C,1,1,E,10.19.17,DSCF2626,alive,1.905,06.26.18,DSCF4563,alive,4.951,250,3.046,0.012184,
M1B1C,C,1,1,N,10.19.17,DSCF2624,alive,2.434,06.26.18,DSCF4562,alive,6.449,250,4.015,0.01606,
M1B1C,C,1,1,S,10.19.17,DSCF2627,alive,1.576,06.26.18,DSCF4564,alive,6.347,250,4.771,0.019084,
M1B1D,D,1,1,E,10.19.17,DSCF2663,alive,1.823,06.26.18,DSCF4520,alive,1.344,250,-0.479,-0.001916,"Ingrid checked both-look ok, Jun '18 had die-off"
M1B1D,D,1,1,W,10.19.17,DSCF2665,alive,2.084,06.26.18,DSCF4522,alive,6.962,250,4.878,0.019512,
M1B1D,D,1,1,S,10.19.17,DSCF2664,alive,1.099,06.26.18,DSCF4521,alive,6.046,250,4.947,0.019788,
M1B1D,D,1,1,TOP,10.19.17,DSCF2661,alive,1.888,06.26.18,DSCF4518,alive,7.498,250,5.61,0.02244,
M1B1D,D,1,1,N,10.19.17,DSCF2662,alive,1.819,06.26.18,DSCF4519,alive,8.508,250,6.689,0.026756,
M1B2A,A,1,2,W,10.19.17,DSCF2578,alive,2.314,06.26.18,DSCF8261,alive,3.388,250,1.074,0.004296,
M1B2A,A,1,2,S,10.19.17,DSCF2577,alive,0.743,06.26.18,DSCF8260,alive,4.524,250,3.781,0.015124,
