brick_id,array,genotype,brick_colour,side,condition_1,area_(cm2)_1,condition_2,area_(cm2),growth,growth_per_day
M1B1A,A,1,1,N,alive,2.122,alive,6.004,3.882,0.015528
M1B1A,A,1,1,S,alive,2.301,alive,6.694,4.393,0.017572
M1B1A,A,1,1,W,alive,2.166,alive,9.324,7.158,0.028632
M1B1A,A,1,1,TOP,alive,3.476,alive,10.877,7.401,0.029604
M1B1A,A,1,1,E,alive,1.492,dead,NA,NA,NA
M1B1B,B,1,1,S,alive,1.955,alive,5.089,3.134,0.012536
M1B1B,B,1,1,W,alive,2.041,alive,7.674,5.633,0.022532
M1B1B,B,1,1,TOP,alive,3.008,alive,9.584,6.576,0.026304
M1B1B,B,1,1,N,alive,2.315,alive,11.433,9.118,0.036472
M1B1B,B,1,1,E,alive,1.8,dead,NA,NA,NA
M1B1C,C,1,1,W,alive,1.661,alive,4.494,2.833,0.011332
M1B1C,C,1,1,TOP,alive,1.869,alive,4.795,2.926,0.011704
M1B1C,C,1,1,E,alive,1.905,alive,4.951,3.046,0.012184
M1B1C,C,1,1,N,alive,2.434,alive,6.449,4.015,0.01606
M1B1C,C,1,1,S,alive,1.576,alive,6.347,4.771,0.019084
M1B1D,D,1,1,E,alive,1.823,alive,1.344,-0.479,-0.001916
M1B1D,D,1,1,W,alive,2.084,alive,6.962,4.878,0.019512
M1B1D,D,1,1,S,alive,1.099,alive,6.046,4.947,0.019788
M1B1D,D,1,1,TOP,alive,1.888,alive,7.498,5.61,0.02244
M1B1D,D,1,1,N,alive,1.819,alive,8.508,6.689,0.026756
M1B2A,A,1,2,W,alive,2.314,alive,3.388,1.074,0.004296
M1B2A,A,1,2,S,alive,0.743,alive,4.524,3.781,0.015124
M1B2A,A,1,2,E,alive,1.931,alive,6.553,4.622,0.018488
M1B2A,A,1,2,N,alive,3.603,alive,11.135,7.532,0.030128
M1B2A,A,1,2,TOP,alive,2.842,dead,NA,NA,NA
M1B2B,B,1,2,W,alive,0.688,alive,1.965,1.277,0.005108
M1B2B,B,1,2,S,alive,1.787,alive,5.53,3.743,0.014972
M1B2B,B,1,2,N,alive,1.333,alive,7.547,6.214,0.024856
M1B2B,B,1,2,TOP,alive,1.746,alive,10.678,8.932,0.035728
M1B2B,B,1,2,E,alive,3.052,alive,14.271,11.219,0.044876
M1B2C,C,1,2,W,alive,0.943,alive,1.43,0.487,0.001948
M1B2C,C,1,2,S,alive,2.279,alive,3.759,1.48,0.00592
M1B2C,C,1,2,E,alive,3.045,alive,7.127,4.082,0.016328
M1B2C,C,1,2,N,alive,0.839,alive,5.359,4.52,0.01808
M1B2C,C,1,2,TOP,alive,2.327,alive,7.747,5.42,0.02168
M1B2D,D,1,2,W,alive,1.184,alive,1.3,0.116,0.000464
M1B2D,D,1,2,S,alive,0.758,alive,1.51,0.752,0.003008
M1B2D,D,1,2,E,alive,1.519,alive,5.408,3.889,0.015556
M1B2D,D,1,2,N,alive,1.151,alive,6.118,4.967,0.019868
M1B2D,D,1,2,TOP,alive,3.761,alive,9.14,5.379,0.021516
M1B3A,A,1,3,S,alive,3.413,alive,4.105,0.692,0.002768
M1B3A,A,1,3,TOP,alive,3.146,alive,6.169,3.023,0.012092
M1B3A,A,1,3,N,alive,2.226,alive,6.68,4.454,0.017816
M1B3A,A,1,3,E,alive,2.376,dead,NA,NA,NA
M1B3A,A,1,3,W,alive,1.813,dead,NA,NA,NA
M1B3B,B,1,3,E,alive,1.835,alive,4.361,2.526,0.010104
M1B3B,B,1,3,W,alive,2.5,alive,6.006,3.506,0.014024
M1B3B,B,1,3,N,alive,2.612,alive,8.876,6.264,0.025056
M1B3B,B,1,3,TOP,alive,2.928,alive,14.517,11.589,0.046356
M1B3B,B,1,3,S,alive,2.401,dead,NA,NA,NA
M1B3C,C,1,3,E,alive,1.962,alive,3.205,1.243,0.004972
M1B3C,C,1,3,N,alive,2.042,alive,3.318,1.276,0.005104
M1B3C,C,1,3,W,alive,2.163,alive,5.585,3.422,0.013688
M1B3C,C,1,3,S,alive,2.203,alive,6.102,3.899,0.015596
M1B3C,C,1,3,TOP,alive,3.626,alive,11.295,7.669,0.030676
